,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36075,0.3705,0.38025,0.39
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352625,0.364,0.375375,0.38675,0.398125,0.4095,0.420875,0.43225,0.443625,0.455
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0.364,0.377,0.39,0.403,0.416,0.429,0.442,0.455,0.468,0.481,0.494,0.507,0.52
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336375,0.351,0.365625,0.38025,0.394875,0.4095,0.424125,0.43875,0.453375,0.468,0.482625,0.49725,0.511875,0.5265,0.541125,0.55575,0.570375,0.585
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.34125,0.3575,0.37375,0.39,0.40625,0.4225,0.43875,0.455,0.47125,0.4875,0.50375,0.52,0.53625,0.5525,0.56875,0.585,0.60125,0.6175,0.63375,0.65
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32175,0.339625,0.3575,0.375375,0.39325,0.411125,0.429,0.446875,0.46475,0.482625,0.5005,0.518375,0.53625,0.554125,0.572,0.589875,0.60775,0.625625,0.6435,0.661375,0.67925,0.697125,0.715
600,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.3315,0.351,0.3705,0.39,0.4095,0.429,0.4485,0.468,0.4875,0.507,0.5265,0.546,0.5655,0.585,0.6045,0.624,0.6435,0.663,0.6825,0.702,0.7215,0.741,0.7605,0.78
650,0,0,0,0,0,0,0,0,0,0,0,0.316875,0.338,0.359125,0.38025,0.401375,0.4225,0.443625,0.46475,0.485875,0.507,0.528125,0.54925,0.570375,0.5915,0.612625,0.63375,0.654875,0.676,0.697125,0.71825,0.739375,0.7605,0.781625,0.80275,0.823875,0.845
700,0,0,0,0,0,0,0,0,0,0,0.3185,0.34125,0.364,0.38675,0.4095,0.43225,0.455,0.47775,0.5005,0.52325,0.546,0.56875,0.5915,0.61425,0.637,0.65975,0.6825,0.70525,0.728,0.75075,0.7735,0.79625,0.819,0.84175,0.8645,0.88725,0.91
750,0,0,0,0,0,0,0,0,0,0.316875,0.34125,0.365625,0.39,0.414375,0.43875,0.463125,0.4875,0.511875,0.53625,0.560625,0.585,0.609375,0.63375,0.658125,0.6825,0.706875,0.73125,0.755625,0.78,0.804375,0.82875,0.853125,0.8775,0.901875,0.92625,0.950625,0.975
800,0,0,0,0,0,0,0,0,0.312,0.338,0.364,0.39,0.416,0.442,0.468,0.494,0.52,0.546,0.572,0.598,0.624,0.65,0.676,0.702,0.728,0.754,0.78,0.806,0.832,0.858,0.884,0.91,0.936,0.962,0.988,1.014,1.04
850,0,0,0,0,0,0,0,0,0.3315,0.359125,0.38675,0.414375,0.442,0.469625,0.49725,0.524875,0.5525,0.580125,0.60775,0.635375,0.663,0.690625,0.71825,0.745875,0.7735,0.801125,0.82875,0.856375,0.884,0.911625,0.93925,0.966875,0.9945,1.022125,1.04975,1.077375,1.105
900,0,0,0,0,0,0,0,0.32175,0.351,0.38025,0.4095,0.43875,0.468,0.49725,0.5265,0.55575,0.585,0.61425,0.6435,0.67275,0.702,0.73125,0.7605,0.78975,0.819,0.84825,0.8775,0.90675,0.936,0.96525,0.9945,1.02375,1.053,1.08225,1.1115,1.14075,1.17
950,0,0,0,0,0,0,0,0.339625,0.3705,0.401375,0.43225,0.463125,0.494,0.524875,0.55575,0.586625,0.6175,0.648375,0.67925,0.710125,0.741,0.771875,0.80275,0.833625,0.8645,0.895375,0.92625,0.957125,0.988,1.018875,1.04975,1.080625,1.1115,1.142375,1.17325,1.204125,1.235
1000,0,0,0,0,0,0,0.325,0.3575,0.39,0.4225,0.455,0.4875,0.52,0.5525,0.585,0.6175,0.65,0.6825,0.715,0.7475,0.78,0.8125,0.845,0.8775,0.91,0.9425,0.975,1.0075,1.04,1.0725,1.105,1.1375,1.17,1.2025,1.235,1.2675,1.3
1050,0,0,0,0,0,0,0.34125,0.375375,0.4095,0.443625,0.47775,0.511875,0.546,0.580125,0.61425,0.648375,0.6825,0.716625,0.75075,0.784875,0.819,0.853125,0.88725,0.921375,0.9555,0.989625,1.02375,1.057875,1.092,1.126125,1.16025,1.194375,1.2285,1.262625,1.29675,1.330875,1.365
1100,0,0,0,0,0,0,0.3575,0.39325,0.429,0.46475,0.5005,0.53625,0.572,0.60775,0.6435,0.67925,0.715,0.75075,0.7865,0.82225,0.858,0.89375,0.9295,0.96525,1.001,1.03675,1.0725,1.10825,1.144,1.17975,1.2155,1.25125,1.287,1.32275,1.3585,1.39425,1.43
1150,0,0,0,0,0,0.336375,0.37375,0.411125,0.4485,0.485875,0.52325,0.560625,0.598,0.635375,0.67275,0.710125,0.7475,0.784875,0.82225,0.859625,0.897,0.934375,0.97175,1.009125,1.0465,1.083875,1.12125,1.158625,1.196,1.233375,1.27075,1.308125,1.3455,1.382875,1.42025,1.457625,1.495
1200,0,0,0,0,0,0.351,0.39,0.429,0.468,0.507,0.546,0.585,0.624,0.663,0.702,0.741,0.78,0.819,0.858,0.897,0.936,0.975,1.014,1.053,1.092,1.131,1.17,1.209,1.248,1.287,1.326,1.365,1.404,1.443,1.482,1.521,1.56
1250,0,0,0,0,0,0.365625,0.40625,0.446875,0.4875,0.528125,0.56875,0.609375,0.65,0.690625,0.73125,0.771875,0.8125,0.853125,0.89375,0.934375,0.975,1.015625,1.05625,1.096875,1.1375,1.178125,1.21875,1.259375,1.3,1.340625,1.38125,1.421875,1.4625,1.503125,1.54375,1.584375,1.625
1300,0,0,0,0,0,0.38025,0.4225,0.46475,0.507,0.54925,0.5915,0.63375,0.676,0.71825,0.7605,0.80275,0.845,0.88725,0.9295,0.97175,1.014,1.05625,1.0985,1.14075,1.183,1.22525,1.2675,1.30975,1.352,1.39425,1.4365,1.47875,1.521,1.56325,1.6055,1.64775,1.69
1350,0,0,0,0,0.351,0.394875,0.43875,0.482625,0.5265,0.570375,0.61425,0.658125,0.702,0.745875,0.78975,0.833625,0.8775,0.921375,0.96525,1.009125,1.053,1.096875,1.14075,1.184625,1.2285,1.272375,1.31625,1.360125,1.404,1.447875,1.49175,1.535625,1.5795,1.623375,1.66725,1.711125,1.755
1400,0,0,0,0,0.364,0.4095,0.455,0.5005,0.546,0.5915,0.637,0.6825,0.728,0.7735,0.819,0.8645,0.91,0.9555,1.001,1.0465,1.092,1.1375,1.183,1.2285,1.274,1.3195,1.365,1.4105,1.456,1.5015,1.547,1.5925,1.638,1.6835,1.729,1.7745,1.82
1450,0,0,0,0,0.377,0.424125,0.47125,0.518375,0.5655,0.612625,0.65975,0.706875,0.754,0.801125,0.84825,0.895375,0.9425,0.989625,1.03675,1.083875,1.131,1.178125,1.22525,1.272375,1.3195,1.366625,1.41375,1.460875,1.508,1.555125,1.60225,1.649375,1.6965,1.743625,1.79075,1.837875,1.885
1500,0,0,0,0,0.39,0.43875,0.4875,0.53625,0.585,0.63375,0.6825,0.73125,0.78,0.82875,0.8775,0.92625,0.975,1.02375,1.0725,1.12125,1.17,1.21875,1.2675,1.31625,1.365,1.41375,1.4625,1.51125,1.56,1.60875,1.6575,1.70625,1.755,1.80375,1.8525,1.90125,1.95
1550,0,0,0,0.352625,0.403,0.453375,0.50375,0.554125,0.6045,0.654875,0.70525,0.755625,0.806,0.856375,0.90675,0.957125,1.0075,1.057875,1.10825,1.158625,1.209,1.259375,1.30975,1.360125,1.4105,1.460875,1.51125,1.561625,1.612,1.662375,1.71275,1.763125,1.8135,1.863875,1.91425,1.964625,2.015
1600,0,0,0,0.364,0.416,0.468,0.52,0.572,0.624,0.676,0.728,0.78,0.832,0.884,0.936,0.988,1.04,1.092,1.144,1.196,1.248,1.3,1.352,1.404,1.456,1.508,1.56,1.612,1.664,1.716,1.768,1.82,1.872,1.924,1.976,2.028,2.08
1650,0,0,0,0.375375,0.429,0.482625,0.53625,0.589875,0.6435,0.697125,0.75075,0.804375,0.858,0.911625,0.96525,1.018875,1.0725,1.126125,1.17975,1.233375,1.287,1.340625,1.39425,1.447875,1.5015,1.555125,1.60875,1.662375,1.716,1.769625,1.82325,1.876875,1.9305,1.984125,2.03775,2.091375,2.145
1700,0,0,0,0.38675,0.442,0.49725,0.5525,0.60775,0.663,0.71825,0.7735,0.82875,0.884,0.93925,0.9945,1.04975,1.105,1.16025,1.2155,1.27075,1.326,1.38125,1.4365,1.49175,1.547,1.60225,1.6575,1.71275,1.768,1.82325,1.8785,1.93375,1.989,2.04425,2.0995,2.15475,2.21
1750,0,0,0,0.398125,0.455,0.511875,0.56875,0.625625,0.6825,0.739375,0.79625,0.853125,0.91,0.966875,1.02375,1.080625,1.1375,1.194375,1.25125,1.308125,1.365,1.421875,1.47875,1.535625,1.5925,1.649375,1.70625,1.763125,1.82,1.876875,1.93375,1.990625,2.0475,2.104375,2.16125,2.218125,2.275
1800,0,0,0,0.4095,0.468,0.5265,0.585,0.6435,0.702,0.7605,0.819,0.8775,0.936,0.9945,1.053,1.1115,1.17,1.2285,1.287,1.3455,1.404,1.4625,1.521,1.5795,1.638,1.6965,1.755,1.8135,1.872,1.9305,1.989,2.0475,2.106,2.1645,2.223,2.2815,2.34
1850,0,0,0.36075,0.420875,0.481,0.541125,0.60125,0.661375,0.7215,0.781625,0.84175,0.901875,0.962,1.022125,1.08225,1.142375,1.2025,1.262625,1.32275,1.382875,1.443,1.503125,1.56325,1.623375,1.6835,1.743625,1.80375,1.863875,1.924,1.984125,2.04425,2.104375,2.1645,2.224625,2.28475,2.344875,2.405
1900,0,0,0.3705,0.43225,0.494,0.55575,0.6175,0.67925,0.741,0.80275,0.8645,0.92625,0.988,1.04975,1.1115,1.17325,1.235,1.29675,1.3585,1.42025,1.482,1.54375,1.6055,1.66725,1.729,1.79075,1.8525,1.91425,1.976,2.03775,2.0995,2.16125,2.223,2.28475,2.3465,2.40825,2.47
1950,0,0,0.38025,0.443625,0.507,0.570375,0.63375,0.697125,0.7605,0.823875,0.88725,0.950625,1.014,1.077375,1.14075,1.204125,1.2675,1.330875,1.39425,1.457625,1.521,1.584375,1.64775,1.711125,1.7745,1.837875,1.90125,1.964625,2.028,2.091375,2.15475,2.218125,2.2815,2.344875,2.40825,2.471625,2.535
2000,0,0,0.39,0.455,0.52,0.585,0.65,0.715,0.78,0.845,0.91,0.975,1.04,1.105,1.17,1.235,1.3,1.365,1.43,1.495,1.56,1.625,1.69,1.755,1.82,1.885,1.95,2.015,2.08,2.145,2.21,2.275,2.34,2.405,2.47,2.535,2.6
