fiber_dosage,opt_length,opt_width,volume
"1.21,1.11,1.2,1.16",900,3450,1.242
"1.21,1.11,1.2,1.16",950,3200,1.216
"1.21,1.11,1.2,1.16",1000,2950,1.18
"1.21,1.11,1.2,1.16",1050,2750,1.155
"1.21,1.11,1.2,1.16",1100,2550,1.122
"1.21,1.11,1.2,1.16",1150,2350,1.081
"1.21,1.11,1.2,1.16",1200,2200,1.056
"1.21,1.11,1.2,1.16",1250,2050,1.025
"1.21,1.11,1.2,1.16",1300,1900,0.988
"1.21,1.11,1.2,1.16",1350,1750,0.945
"1.21,1.11,1.2,1.16",1400,1650,0.924
"1.21,1.11,1.2,1.16",1450,1500,0.87
"1.21,1.11,1.2,1.16",1500,1400,0.84
"1.21,1.11,1.2,1.16",1550,1300,0.806
"1.21,1.11,1.2,1.16",1600,1250,0.8
"1.21,1.11,1.2,1.16",1650,1150,0.759
"1.21,1.11,1.2,1.16",1700,1050,0.714
"1.21,1.11,1.2,1.16",1750,1000,0.7
"1.21,1.11,1.2,1.16",1800,950,0.684
"1.21,1.11,1.2,1.16",1850,850,0.629
"1.21,1.11,1.2,1.16",1900,800,0.608
"1.21,1.11,1.2,1.16",2100,750,0.63
"1.21,1.11,1.2,1.16",2350,700,0.658
"1.21,1.11,1.2,1.16",2650,650,0.689
"1.51,1.62,1.8,1.8",800,4100,1.312
"1.51,1.62,1.8,1.8",850,3750,1.275
"1.51,1.62,1.8,1.8",900,3450,1.242
"1.51,1.62,1.8,1.8",950,3200,1.216
"1.51,1.62,1.8,1.8",1000,2950,1.18
"1.51,1.62,1.8,1.8",1050,2750,1.155
"1.51,1.62,1.8,1.8",1100,2550,1.122
"1.51,1.62,1.8,1.8",1150,2350,1.081
"1.51,1.62,1.8,1.8",1200,2200,1.056
"1.51,1.62,1.8,1.8",1250,2050,1.025
"1.51,1.62,1.8,1.8",1300,1900,0.988
"1.51,1.62,1.8,1.8",1350,1750,0.945
"1.51,1.62,1.8,1.8",1400,1650,0.924
"1.51,1.62,1.8,1.8",1450,1500,0.87
"1.51,1.62,1.8,1.8",1500,1400,0.84
"1.51,1.62,1.8,1.8",1550,1300,0.806
"1.51,1.62,1.8,1.8",1600,1250,0.8
"1.51,1.62,1.8,1.8",1650,1150,0.759
"1.51,1.62,1.8,1.8",1700,1050,0.714
"1.51,1.62,1.8,1.8",1750,1000,0.7
"1.51,1.62,1.8,1.8",1800,950,0.684
"1.51,1.62,1.8,1.8",1850,850,0.629
"1.51,1.62,1.8,1.8",1900,800,0.608
"1.51,1.62,1.8,1.8",2100,750,0.63
"1.51,1.62,1.8,1.8",2350,700,0.658
"1.51,1.62,1.8,1.8",2650,650,0.689
"1.51,1.62,1.8,1.8",2950,600,0.708
"1.51,1.62,1.8,1.8",3350,550,0.737
"1.8,1.9,2.1,2",750,4500,1.35
"1.8,1.9,2.1,2",800,4100,1.312
"1.8,1.9,2.1,2",850,3750,1.275
"1.8,1.9,2.1,2",900,3450,1.242
"1.8,1.9,2.1,2",950,3200,1.216
"1.8,1.9,2.1,2",1000,2950,1.18
"1.8,1.9,2.1,2",1050,2750,1.155
"1.8,1.9,2.1,2",1100,2550,1.122
"1.8,1.9,2.1,2",1150,2350,1.081
"1.8,1.9,2.1,2",1200,2200,1.056
"1.8,1.9,2.1,2",1250,2050,1.025
"1.8,1.9,2.1,2",1300,1900,0.988
"1.8,1.9,2.1,2",1350,1750,0.945
"1.8,1.9,2.1,2",1400,1650,0.924
"1.8,1.9,2.1,2",1450,1500,0.87
"1.8,1.9,2.1,2",1500,1400,0.84
"1.8,1.9,2.1,2",1550,1300,0.806
"1.8,1.9,2.1,2",1600,1250,0.8
"1.8,1.9,2.1,2",1650,1150,0.759
"1.8,1.9,2.1,2",1700,1050,0.714
"1.8,1.9,2.1,2",1750,1000,0.7
"1.8,1.9,2.1,2",1800,950,0.684
"1.8,1.9,2.1,2",1850,850,0.629
"1.8,1.9,2.1,2",1900,800,0.608
"1.8,1.9,2.1,2",2100,750,0.63
"1.8,1.9,2.1,2",2350,700,0.658
"1.8,1.9,2.1,2",2650,650,0.689
"1.8,1.9,2.1,2",2950,600,0.708
"1.8,1.9,2.1,2",3350,550,0.737
"1.8,1.9,2.1,2",3750,500,0.75
"1.97,2.45,2.71,2.62",750,4500,1.35
"1.97,2.45,2.71,2.62",800,4100,1.312
"1.97,2.45,2.71,2.62",850,3750,1.275
"1.97,2.45,2.71,2.62",900,3450,1.242
"1.97,2.45,2.71,2.62",950,3200,1.216
"1.97,2.45,2.71,2.62",1000,2950,1.18
"1.97,2.45,2.71,2.62",1050,2750,1.155
"1.97,2.45,2.71,2.62",1100,2550,1.122
"1.97,2.45,2.71,2.62",1150,2350,1.081
"1.97,2.45,2.71,2.62",1200,2200,1.056
"1.97,2.45,2.71,2.62",1250,2050,1.025
"1.97,2.45,2.71,2.62",1300,1900,0.988
"1.97,2.45,2.71,2.62",1350,1750,0.945
"1.97,2.45,2.71,2.62",1400,1650,0.924
"1.97,2.45,2.71,2.62",1450,1500,0.87
"1.97,2.45,2.71,2.62",1500,1400,0.84
"1.97,2.45,2.71,2.62",1550,1300,0.806
"1.97,2.45,2.71,2.62",1600,1250,0.8
"1.97,2.45,2.71,2.62",1650,1150,0.759
"1.97,2.45,2.71,2.62",1700,1050,0.714
"1.97,2.45,2.71,2.62",1750,1000,0.7
"1.97,2.45,2.71,2.62",1800,950,0.684
"1.97,2.45,2.71,2.62",1850,850,0.629
"1.97,2.45,2.71,2.62",1900,800,0.608
"1.97,2.45,2.71,2.62",2100,750,0.63
"1.97,2.45,2.71,2.62",2350,700,0.658
"1.97,2.45,2.71,2.62",2650,650,0.689
"1.97,2.45,2.71,2.62",2950,600,0.708
"1.97,2.45,2.71,2.62",3350,550,0.737
"1.97,2.45,2.71,2.62",3750,500,0.75
"2.3,2.7,2.9,2.9",750,4500,1.35
"2.3,2.7,2.9,2.9",800,4100,1.312
"2.3,2.7,2.9,2.9",850,3750,1.275
"2.3,2.7,2.9,2.9",900,3450,1.242
"2.3,2.7,2.9,2.9",950,3200,1.216
"2.3,2.7,2.9,2.9",1000,2950,1.18
"2.3,2.7,2.9,2.9",1050,2750,1.155
"2.3,2.7,2.9,2.9",1100,2550,1.122
"2.3,2.7,2.9,2.9",1150,2350,1.081
"2.3,2.7,2.9,2.9",1200,2200,1.056
"2.3,2.7,2.9,2.9",1250,2050,1.025
"2.3,2.7,2.9,2.9",1300,1900,0.988
"2.3,2.7,2.9,2.9",1350,1750,0.945
"2.3,2.7,2.9,2.9",1400,1650,0.924
"2.3,2.7,2.9,2.9",1450,1500,0.87
"2.3,2.7,2.9,2.9",1500,1400,0.84
"2.3,2.7,2.9,2.9",1550,1300,0.806
"2.3,2.7,2.9,2.9",1600,1250,0.8
"2.3,2.7,2.9,2.9",1650,1150,0.759
"2.3,2.7,2.9,2.9",1700,1050,0.714
"2.3,2.7,2.9,2.9",1750,1000,0.7
"2.3,2.7,2.9,2.9",1800,950,0.684
"2.3,2.7,2.9,2.9",1850,850,0.629
"2.3,2.7,2.9,2.9",1900,800,0.608
"2.3,2.7,2.9,2.9",2100,750,0.63
"2.3,2.7,2.9,2.9",2350,700,0.658
"2.3,2.7,2.9,2.9",2650,650,0.689
"2.3,2.7,2.9,2.9",2950,600,0.708
"2.3,2.7,2.9,2.9",3350,550,0.737
"2.3,2.7,2.9,2.9",3750,500,0.75
"2.3,2.7,2.9,2.9",4300,450,0.774
"2.87,3.51,3.82,3.85",750,4500,1.35
"2.87,3.51,3.82,3.85",800,4100,1.312
"2.87,3.51,3.82,3.85",850,3750,1.275
"2.87,3.51,3.82,3.85",900,3450,1.242
"2.87,3.51,3.82,3.85",950,3200,1.216
"2.87,3.51,3.82,3.85",1000,2950,1.18
"2.87,3.51,3.82,3.85",1050,2750,1.155
"2.87,3.51,3.82,3.85",1100,2550,1.122
"2.87,3.51,3.82,3.85",1150,2350,1.081
"2.87,3.51,3.82,3.85",1200,2200,1.056
"2.87,3.51,3.82,3.85",1250,2050,1.025
"2.87,3.51,3.82,3.85",1300,1900,0.988
"2.87,3.51,3.82,3.85",1350,1750,0.945
"2.87,3.51,3.82,3.85",1400,1650,0.924
"2.87,3.51,3.82,3.85",1450,1500,0.87
"2.87,3.51,3.82,3.85",1500,1400,0.84
"2.87,3.51,3.82,3.85",1550,1300,0.806
"2.87,3.51,3.82,3.85",1600,1250,0.8
"2.87,3.51,3.82,3.85",1650,1150,0.759
"2.87,3.51,3.82,3.85",1700,1050,0.714
"2.87,3.51,3.82,3.85",1750,1000,0.7
"2.87,3.51,3.82,3.85",1800,950,0.684
"2.87,3.51,3.82,3.85",1850,850,0.629
"2.87,3.51,3.82,3.85",1900,800,0.608
"2.87,3.51,3.82,3.85",2100,750,0.63
"2.87,3.51,3.82,3.85",2350,700,0.658
"2.87,3.51,3.82,3.85",2650,650,0.689
"2.87,3.51,3.82,3.85",2950,600,0.708
"2.87,3.51,3.82,3.85",3350,550,0.737
"2.87,3.51,3.82,3.85",3750,500,0.75
"2.87,3.51,3.82,3.85",4300,450,0.774
"3.35,4.26,4.7,4.66",750,4500,1.35
"3.35,4.26,4.7,4.66",800,4100,1.312
"3.35,4.26,4.7,4.66",850,3750,1.275
"3.35,4.26,4.7,4.66",900,3450,1.242
"3.35,4.26,4.7,4.66",950,3200,1.216
"3.35,4.26,4.7,4.66",1000,2950,1.18
"3.35,4.26,4.7,4.66",1050,2750,1.155
"3.35,4.26,4.7,4.66",1100,2550,1.122
"3.35,4.26,4.7,4.66",1150,2350,1.081
"3.35,4.26,4.7,4.66",1200,2200,1.056
"3.35,4.26,4.7,4.66",1250,2050,1.025
"3.35,4.26,4.7,4.66",1300,1900,0.988
"3.35,4.26,4.7,4.66",1350,1750,0.945
"3.35,4.26,4.7,4.66",1400,1650,0.924
"3.35,4.26,4.7,4.66",1450,1500,0.87
"3.35,4.26,4.7,4.66",1500,1400,0.84
"3.35,4.26,4.7,4.66",1550,1300,0.806
"3.35,4.26,4.7,4.66",1600,1250,0.8
"3.35,4.26,4.7,4.66",1650,1150,0.759
"3.35,4.26,4.7,4.66",1700,1050,0.714
"3.35,4.26,4.7,4.66",1750,1000,0.7
"3.35,4.26,4.7,4.66",1800,950,0.684
"3.35,4.26,4.7,4.66",1850,850,0.629
"3.35,4.26,4.7,4.66",1900,800,0.608
"3.35,4.26,4.7,4.66",2100,750,0.63
"3.35,4.26,4.7,4.66",2350,700,0.658
"3.35,4.26,4.7,4.66",2650,650,0.689
"3.35,4.26,4.7,4.66",2950,600,0.708
"3.35,4.26,4.7,4.66",3350,550,0.737
"3.35,4.26,4.7,4.66",3750,500,0.75
"3.35,4.26,4.7,4.66",4300,450,0.774
